name,roll_no,email,branch,cgpa,tenth_percentage,twelfth_percentage,aptitude_score,coding_score,communication_score,internship,projects,backlogs,placed
Student_033,ROLL0033,student033@college.edu,CE,7.51,72.11,70.8,72,22,33,0,1,0,0
Student_034,ROLL0034,student034@college.edu,CE,8.68,79.22,69.56,36,98,77,0,5,4,1
Student_035,ROLL0035,student035@college.edu,IT,8.06,59.98,61.46,80,48,84,2,4,1,1
Student_036,ROLL0036,student036@college.edu,IT,7.04,92.33,62.08,61,51,30,1,4,1,1
Student_037,ROLL0037,student037@college.edu,IT,7.18,74.01,69.28,37,45,95,1,0,0,0
Student_038,ROLL0038,student038@college.edu,ME,6.2,88.41,76.41,74,35,59,2,5,4,1
Student_039,ROLL0039,student039@college.edu,CE,7.18,79.11,82.96,88,44,32,0,5,1,1
Student_040,ROLL0040,student040@college.edu,CE,6.91,80.48,62.36,33,73,50,1,2,3,0
Student_041,ROLL0041,student041@college.edu,CSE,7.52,81.84,89.91,96,47,78,1,5,2,1
Student_042,ROLL0042,student042@college.edu,ME,6.37,80.37,68.75,58,92,91,1,1,2,1
Student_043,ROLL0043,student043@college.edu,EEE,7.72,82.71,71.74,58,75,67,2,0,1,1
Student_044,ROLL0044,student044@college.edu,ME,8.73,90.95,63.03,57,84,44,1,4,4,1
Student_045,ROLL0045,student045@college.edu,EEE,7.09,77.36,42.91,73,99,81,1,5,1,1
Student_046,ROLL0046,student046@college.edu,CSE,7.6,83.51,82.61,33,60,75,1,0,4,1
Student_047,ROLL0047,student047@college.edu,ECE,7.89,73.92,80.84,38,70,54,1,5,3,1
Student_048,ROLL0048,student048@college.edu,CE,6.8,92.28,68.62,34,90,50,0,4,4,0
Student_049,ROLL0049,student049@college.edu,CSE,7.42,66.88,72.8,85,97,34,2,3,1,1
Student_050,ROLL0050,student050@college.edu,CE,7.21,96.61,78.19,79,48,99,2,4,3,1
Student_051,ROLL0051,student051@college.edu,IT,7.3,74.52,53.25,44,38,76,0,4,0,1
Student_052,ROLL0052,student052@college.edu,ECE,6.43,57.83,65.65,61,85,97,0,4,2,1
Student_053,ROLL0053,student053@college.edu,ECE,7.22,76.54,81.53,57,60,47,2,5,1,1
Student_054,ROLL0054,student054@college.edu,CSE,7.7,66.83,56.95,51,64,50,1,2,1,1
Student_055,ROLL0055,student055@college.edu,ECE,8.65,85.09,75.52,46,34,52,1,4,1,1
Student_056,ROLL0056,student056@college.edu,EEE,8.16,67.17,55.72,88,22,93,2,1,3,1
Student_057,ROLL0057,student057@college.edu,ECE,9.35,69.65,77.6,86,30,96,1,1,0,1
Student_058,ROLL0058,student058@college.edu,CE,6.43,52.33,71.57,55,72,69,0,0,4,0
Student_059,ROLL0059,student059@college.edu,CE,8.07,69.57,52.62,54,65,39,1,2,0,1
Student_060,ROLL0060,student060@college.edu,CE,7.38,45.91,85.98,39,49,81,1,0,3,0
Student_061,ROLL0061,student061@college.edu,CE,9.39,55.99,63.18,74,76,90,1,1,1,1
Student_062,ROLL0062,student062@college.edu,EEE,6.39,84.12,62.28,40,37,93,2,1,2,0
Student_063,ROLL0063,student063@college.edu,ME,6.36,84.43,74.41,82,70,34,0,3,1,1
Student_064,ROLL0064,student064@college.edu,IT,6.6,80.11,85.78,97,67,82,1,4,4,1
Student_065,ROLL0065,student065@college.edu,CSE,5.08,63.4,59.81,57,85,84,2,1,2,0
Student_066,ROLL0066,student066@college.edu,CE,6.67,74.43,72.74,94,27,66,1,5,1,1
Student_067,ROLL0067,student067@college.edu,ECE,6.44,74.96,77.15,78,41,85,0,5,2,1
Student_068,ROLL0068,student068@college.edu,CE,7.35,61.1,80.32,76,25,88,1,0,0,0
Student_069,ROLL0069,student069@college.edu,ECE,7.54,93.04,74.12,81,95,98,0,0,3,1
Student_070,ROLL0070,student070@college.edu,IT,9.08,85.53,67.6,83,76,88,1,4,1,1
Student_071,ROLL0071,student071@college.edu,IT,8.15,72.35,62.07,89,55,31,0,4,4,0
Student_072,ROLL0072,student072@college.edu,IT,6.62,75.32,73.03,86,98,94,1,3,0,1
Student_073,ROLL0073,student073@college.edu,ECE,6.3,77.5,59.13,76,76,89,0,2,1,1
Student_074,ROLL0074,student074@college.edu,CE,7.69,50.5,40.0,60,68,80,1,0,0,1
Student_075,ROLL0075,student075@college.edu,IT,5.88,72.03,77.24,75,64,59,1,4,4,0
Student_076,ROLL0076,student076@college.edu,EEE,9.03,66.82,82.85,55,85,40,2,0,1,1
Student_077,ROLL0077,student077@college.edu,ECE,8.38,62.98,43.64,34,96,68,2,4,4,1
Student_078,ROLL0078,student078@college.edu,ECE,6.73,71.63,59.88,81,64,92,0,1,2,1
Student_079,ROLL0079,student079@college.edu,CE,5.49,96.57,79.43,83,98,93,1,0,4,0
Student_080,ROLL0080,student080@college.edu,ECE,8.55,82.69,96.69,62,39,90,0,1,2,1
Student_081,ROLL0081,student081@college.edu,ECE,7.09,68.15,72.25,79,83,83,2,0,1,1
Student_082,ROLL0082,student082@college.edu,IT,8.44,81.87,63.26,67,86,87,0,2,2,1
Student_083,ROLL0083,student083@college.edu,CE,5.61,91.79,69.81,56,22,85,0,3,1,0
Student_084,ROLL0084,student084@college.edu,IT,6.6,86.1,88.5,44,73,63,2,5,1,1
Student_085,ROLL0085,student085@college.edu,IT,7.21,75.72,64.25,90,97,60,1,5,3,1
Student_086,ROLL0086,student086@college.edu,CE,7.25,67.24,62.41,50,83,81,0,5,1,1
Student_087,ROLL0087,student087@college.edu,CSE,6.75,83.38,66.21,75,59,30,2,1,2,0
Student_088,ROLL0088,student088@college.edu,IT,7.82,79.72,60.56,98,78,84,1,4,3,1
Student_089,ROLL0089,student089@college.edu,EEE,6.13,85.74,73.47,35,74,51,2,5,3,0
Student_090,ROLL0090,student090@college.edu,EEE,7.06,82.62,91.5,67,81,69,0,2,1,1
Student_091,ROLL0091,student091@college.edu,ECE,7.32,87.59,75.88,91,23,30,1,5,4,1
Student_092,ROLL0092,student092@college.edu,EEE,7.71,68.58,68.97,91,79,94,1,0,4,1
Student_093,ROLL0093,student093@college.edu,ECE,7.91,90.81,68.5,75,94,92,2,1,3,1
Student_094,ROLL0094,student094@college.edu,CSE,6.08,77.37,53.24,42,49,83,2,0,1,1
Student_095,ROLL0095,student095@college.edu,CE,5.67,99.0,82.6,32,21,71,2,0,4,0
Student_096,ROLL0096,student096@college.edu,CE,8.48,66.73,71.07,35,81,50,1,0,1,1
Student_097,ROLL0097,student097@college.edu,CE,7.53,95.83,69.83,37,68,51,1,3,1,1
Student_098,ROLL0098,student098@college.edu,EEE,6.45,77.37,99.0,73,28,67,0,3,3,1
Student_099,ROLL0099,student099@college.edu,CSE,8.75,67.18,75.59,62,50,37,1,4,3,1
Student_100,ROLL0100,student100@college.edu,EEE,7.32,69.19,62.98,79,80,91,0,1,0,1
Student_101,ROLL0101,student101@college.edu,EEE,8.38,71.16,66.88,40,98,76,2,2,4,1
Student_102,ROLL0102,student102@college.edu,CSE,7.27,80.09,85.78,57,67,46,2,2,4,0
Student_103,ROLL0103,student103@college.edu,CSE,9.26,81.27,73.36,99,44,46,1,2,4,1
Student_104,ROLL0104,student104@college.edu,CSE,8.96,68.12,54.74,70,55,42,2,0,2,1
Student_105,ROLL0105,student105@college.edu,CSE,6.95,74.71,83.03,45,27,46,2,3,1,1
Student_106,ROLL0106,student106@college.edu,CE,8.17,99.0,63.98,97,92,67,1,1,3,1
Student_107,ROLL0107,student107@college.edu,ME,7.85,95.73,94.48,77,77,74,0,0,4,1
Student_108,ROLL0108,student108@college.edu,ME,8.57,80.24,84.96,85,64,35,1,3,0,1
Student_109,ROLL0109,student109@college.edu,CSE,6.24,75.46,66.63,93,81,64,0,3,4,0
Student_110,ROLL0110,student110@college.edu,ME,7.89,76.44,87.37,88,58,43,1,5,1,1
Student_111,ROLL0111,student111@college.edu,ME,8.26,82.36,72.81,91,77,90,1,5,1,1
Student_112,ROLL0112,student112@college.edu,CSE,5.44,62.73,82.23,40,83,44,2,1,3,0
Student_113,ROLL0113,student113@college.edu,ME,6.02,71.91,77.82,47,63,83,1,1,2,0
Student_114,ROLL0114,student114@college.edu,EEE,5.16,54.98,61.84,48,48,56,1,1,3,0
Student_115,ROLL0115,student115@college.edu,ECE,6.93,79.79,64.28,84,78,42,0,0,4,0
Student_116,ROLL0116,student116@college.edu,ECE,7.92,82.77,84.36,55,90,60,2,4,0,1
Student_117,ROLL0117,student117@college.edu,CSE,8.7,69.2,67.98,35,28,64,0,1,3,0
Student_118,ROLL0118,student118@college.edu,CE,7.27,93.89,67.16,33,25,89,0,5,2,1
Student_119,ROLL0119,student119@college.edu,CSE,8.83,60.29,60.54,58,48,35,2,4,3,1
Student_120,ROLL0120,student120@college.edu,CE,5.82,57.43,77.08,88,77,98,2,0,1,1
Student_121,ROLL0121,student121@college.edu,ECE,5.5,77.69,96.75,46,36,87,2,4,4,1
Student_122,ROLL0122,student122@college.edu,CSE,7.14,87.57,59.19,72,35,78,1,2,4,1
Student_123,ROLL0123,student123@college.edu,IT,7.58,95.21,72.29,95,22,52,2,4,4,1
Student_124,ROLL0124,student124@college.edu,EEE,7.17,69.49,88.95,63,40,63,2,1,4,0
Student_125,ROLL0125,student125@college.edu,ME,5.13,87.94,71.04,37,83,55,2,0,4,0
Student_126,ROLL0126,student126@college.edu,CE,7.11,74.54,77.43,42,55,76,0,1,4,0
Student_127,ROLL0127,student127@college.edu,IT,5.9,72.93,59.25,37,81,34,0,5,0,0
Student_128,ROLL0128,student128@college.edu,ME,7.87,85.6,77.14,94,61,49,1,2,2,1
Student_129,ROLL0129,student129@college.edu,ME,7.57,82.83,69.75,72,95,35,0,5,4,1
Student_130,ROLL0130,student130@college.edu,CSE,6.26,56.08,83.83,68,61,99,1,1,2,0
Student_131,ROLL0131,student131@college.edu,ME,6.69,92.72,86.25,88,80,88,0,1,4,1
Student_132,ROLL0132,student132@college.edu,EEE,6.14,91.56,99.0,73,32,93,2,1,3,1
Student_133,ROLL0133,student133@college.edu,IT,7.14,67.49,78.96,38,30,47,0,3,4,0
Student_134,ROLL0134,student134@college.edu,ME,8.16,79.75,75.91,66,73,33,1,2,1,1
Student_135,ROLL0135,student135@college.edu,CSE,6.21,80.93,74.33,65,35,46,0,1,0,1
Student_136,ROLL0136,student136@college.edu,EEE,7.7,78.13,67.76,57,27,43,2,1,3,0
Student_137,ROLL0137,student137@college.edu,ECE,6.67,68.4,76.06,71,78,42,1,5,3,1
Student_138,ROLL0138,student138@college.edu,IT,6.41,66.94,68.46,72,76,36,2,5,1,1
Student_139,ROLL0139,student139@college.edu,ME,7.09,74.69,74.02,71,59,73,2,1,4,1
Student_140,ROLL0140,student140@college.edu,CSE,6.16,89.07,87.81,95,78,44,1,0,0,1
Student_141,ROLL0141,student141@college.edu,ECE,6.65,81.52,59.92,84,21,48,2,3,3,0
Student_142,ROLL0142,student142@college.edu,ECE,6.0,70.55,85.68,77,95,92,2,5,0,1
Student_143,ROLL0143,student143@college.edu,CE,9.16,84.26,87.81,51,29,64,0,0,3,0
Student_144,ROLL0144,student144@college.edu,EEE,7.24,40.82,70.58,56,63,64,2,3,4,0
Student_145,ROLL0145,student145@college.edu,ME,6.5,88.79,46.54,96,30,48,2,1,3,1
Student_146,ROLL0146,student146@college.edu,CSE,7.41,54.12,64.71,42,98,49,2,2,3,1
Student_147,ROLL0147,student147@college.edu,CE,7.09,70.65,87.56,74,99,64,2,4,2,1
Student_148,ROLL0148,student148@college.edu,EEE,6.98,61.56,71.73,39,21,61,1,4,4,0
Student_149,ROLL0149,student149@college.edu,CE,7.81,59.46,60.01,38,69,77,0,1,1,1
Student_150,ROLL0150,student150@college.edu,IT,7.96,88.93,65.94,83,31,73,2,5,1,1
Student_151,ROLL0151,student151@college.edu,EEE,6.67,69.39,82.09,56,42,53,2,0,4,1
Student_152,ROLL0152,student152@college.edu,EEE,6.62,79.16,78.56,63,37,90,1,2,1,1
Student_153,ROLL0153,student153@college.edu,ME,6.92,74.44,69.13,30,81,46,2,3,4,1
Student_154,ROLL0154,student154@college.edu,EEE,4.9,80.72,67.6,61,81,79,1,1,1,1
Student_155,ROLL0155,student155@college.edu,CE,5.68,75.92,67.3,96,57,94,0,2,2,1
Student_156,ROLL0156,student156@college.edu,EEE,8.57,59.6,60.93,49,86,61,0,2,1,1
Student_157,ROLL0157,student157@college.edu,ME,8.84,86.96,91.38,64,57,65,2,5,3,1
Student_158,ROLL0158,student158@college.edu,ME,6.95,69.07,68.13,46,86,42,2,3,4,0
Student_159,ROLL0159,student159@college.edu,IT,7.78,56.32,86.61,47,80,99,2,2,0,1
Student_160,ROLL0160,student160@college.edu,CE,7.51,69.86,90.26,74,20,87,1,5,0,1
Student_161,ROLL0161,student161@college.edu,ECE,10.0,93.01,83.98,82,64,43,2,0,4,1
Student_162,ROLL0162,student162@college.edu,ECE,8.32,85.2,66.82,97,47,66,2,5,2,1
Student_163,ROLL0163,student163@college.edu,EEE,7.07,70.82,76.84,94,40,97,0,0,1,1
Student_164,ROLL0164,student164@college.edu,IT,6.24,70.81,71.71,30,32,69,2,0,2,0
Student_165,ROLL0165,student165@college.edu,CSE,5.59,71.14,61.16,87,46,88,0,2,0,1
Student_166,ROLL0166,student166@college.edu,EEE,7.4,99.0,75.89,55,26,45,2,5,4,1
Student_167,ROLL0167,student167@college.edu,IT,6.44,79.58,57.85,49,41,91,0,0,4,0
Student_168,ROLL0168,student168@college.edu,CE,5.78,80.16,86.25,39,93,33,2,3,2,0
Student_169,ROLL0169,student169@college.edu,CE,6.55,87.36,66.42,88,72,74,0,2,2,0
Student_170,ROLL0170,student170@college.edu,CE,6.12,77.87,74.41,70,98,57,1,5,1,1
Student_171,ROLL0171,student171@college.edu,CE,8.89,71.89,75.4,34,98,95,0,5,3,1
Student_172,ROLL0172,student172@college.edu,CE,8.08,72.64,68.89,94,23,60,0,4,3,0
Student_173,ROLL0173,student173@college.edu,IT,7.19,74.14,79.04,46,42,32,0,5,1,1
Student_174,ROLL0174,student174@college.edu,IT,8.68,74.55,66.3,51,89,37,2,2,3,1
Student_175,ROLL0175,student175@college.edu,ME,7.28,83.73,82.46,70,95,53,2,3,0,1
Student_176,ROLL0176,student176@college.edu,ECE,6.34,75.62,55.85,97,52,44,2,5,3,1
Student_177,ROLL0177,student177@college.edu,CE,8.72,83.79,73.52,98,47,72,1,4,1,1
Student_178,ROLL0178,student178@college.edu,CSE,7.74,74.03,95.27,40,27,60,1,2,3,0
Student_179,ROLL0179,student179@college.edu,IT,6.16,75.94,60.0,85,20,74,0,0,4,0
Student_180,ROLL0180,student180@college.edu,CSE,7.01,51.02,63.87,80,56,95,1,1,2,1
Student_181,ROLL0181,student181@college.edu,CSE,6.32,86.0,78.17,50,82,37,0,1,0,0
Student_182,ROLL0182,student182@college.edu,CSE,5.82,79.16,74.15,55,41,86,0,0,4,0
Student_183,ROLL0183,student183@college.edu,ME,8.13,86.98,76.21,48,89,59,0,5,4,1
Student_184,ROLL0184,student184@college.edu,IT,9.11,40.24,77.87,89,40,47,1,1,1,1
Student_185,ROLL0185,student185@college.edu,CSE,5.8,99.0,79.62,76,54,98,2,1,2,1
Student_186,ROLL0186,student186@college.edu,CE,7.76,73.32,85.32,55,98,68,1,0,2,1
Student_187,ROLL0187,student187@college.edu,EEE,6.55,88.3,76.92,69,24,89,0,5,0,1
Student_188,ROLL0188,student188@college.edu,CSE,6.71,62.52,69.1,34,79,72,0,5,1,0
Student_189,ROLL0189,student189@college.edu,ME,6.61,82.35,80.07,50,65,74,1,0,0,1
Student_190,ROLL0190,student190@college.edu,IT,6.34,62.36,94.8,33,69,52,0,5,3,0
Student_191,ROLL0191,student191@college.edu,ME,7.25,67.51,70.41,52,67,98,0,5,4,0
Student_192,ROLL0192,student192@college.edu,CSE,6.37,97.97,60.31,44,25,35,1,2,0,1
Student_193,ROLL0193,student193@college.edu,IT,7.47,72.71,85.28,37,75,85,1,2,4,0
Student_194,ROLL0194,student194@college.edu,EEE,7.15,77.61,70.56,70,78,33,1,0,1,1
Student_195,ROLL0195,student195@college.edu,CSE,6.96,85.44,45.93,48,48,52,0,3,3,0
Student_196,ROLL0196,student196@college.edu,ME,6.29,80.95,82.17,75,90,35,0,1,1,1
Student_197,ROLL0197,student197@college.edu,ECE,6.62,76.81,65.58,57,96,61,2,2,3,1
Student_198,ROLL0198,student198@college.edu,CE,7.96,79.38,70.91,97,37,47,2,1,3,1
Student_199,ROLL0199,student199@college.edu,ME,7.7,99.0,75.98,44,21,44,1,4,4,0
Student_200,ROLL0200,student200@college.edu,IT,6.22,74.31,74.29,66,27,69,2,0,1,1
Student_201,ROLL0201,student201@college.edu,CSE,7.3,77.41,80.51,30,94,35,0,3,1,1
Student_202,ROLL0202,student202@college.edu,CE,7.95,87.61,66.77,96,73,92,2,4,0,1
Student_203,ROLL0203,student203@college.edu,CSE,5.53,88.27,78.16,53,57,96,0,4,1,1
Student_204,ROLL0204,student204@college.edu,IT,7.74,89.24,68.89,56,67,40,1,5,0,1
Student_205,ROLL0205,student205@college.edu,CSE,6.54,82.66,80.87,69,46,72,1,4,2,1
Student_206,ROLL0206,student206@college.edu,ECE,7.77,61.28,79.38,92,39,46,0,0,2,1
Student_207,ROLL0207,student207@college.edu,CE,6.44,94.6,60.77,90,31,33,2,2,2,0
Student_208,ROLL0208,student208@college.edu,CE,5.4,61.24,85.03,65,62,92,1,0,1,0
Student_209,ROLL0209,student209@college.edu,IT,5.57,78.63,65.57,53,80,97,1,2,1,1
Student_210,ROLL0210,student210@college.edu,ECE,7.25,65.95,81.7,53,50,70,2,4,0,1
Student_211,ROLL0211,student211@college.edu,ME,7.46,74.23,76.41,33,80,34,2,4,3,0
Student_212,ROLL0212,student212@college.edu,CSE,6.3,78.95,94.06,96,93,61,0,3,0,1
Student_213,ROLL0213,student213@college.edu,EEE,7.84,78.86,69.32,63,86,99,2,2,2,1
Student_214,ROLL0214,student214@college.edu,CSE,5.54,80.06,67.81,86,54,64,2,4,0,1
Student_215,ROLL0215,student215@college.edu,CSE,7.13,94.36,71.77,78,34,51,2,5,3,1
Student_216,ROLL0216,student216@college.edu,ME,5.99,80.44,68.36,82,35,94,0,1,1,0
Student_217,ROLL0217,student217@college.edu,CSE,6.55,72.07,81.6,52,32,51,0,3,0,1
Student_218,ROLL0218,student218@college.edu,ECE,7.25,86.57,52.6,98,54,40,1,0,2,1
Student_219,ROLL0219,student219@college.edu,ECE,6.34,89.27,59.36,82,94,32,0,3,2,1
Student_220,ROLL0220,student220@college.edu,CE,6.82,60.27,59.19,91,78,38,1,1,1,1
Student_221,ROLL0221,student221@college.edu,IT,8.21,82.17,83.4,70,40,89,2,2,0,1
Student_222,ROLL0222,student222@college.edu,EEE,6.62,83.41,92.53,86,73,43,1,0,3,1
Student_223,ROLL0223,student223@college.edu,CSE,8.04,71.43,70.75,89,94,47,1,0,1,1
Student_224,ROLL0224,student224@college.edu,CSE,6.07,91.51,69.97,83,49,52,2,2,0,1
Student_225,ROLL0225,student225@college.edu,ME,7.73,73.2,72.84,99,67,76,1,3,4,1
Student_226,ROLL0226,student226@college.edu,IT,8.64,76.51,85.94,86,54,98,0,4,2,1
Student_227,ROLL0227,student227@college.edu,ECE,4.73,72.92,60.87,39,57,76,0,3,3,0
Student_228,ROLL0228,student228@college.edu,EEE,6.4,75.19,74.86,69,50,59,0,1,3,0
Student_229,ROLL0229,student229@college.edu,CE,7.78,61.84,83.7,36,97,54,0,5,3,1
Student_230,ROLL0230,student230@college.edu,ECE,7.0,57.72,78.01,67,43,57,1,4,2,1
Student_231,ROLL0231,student231@college.edu,IT,7.57,94.13,74.27,90,68,54,1,3,0,1
Student_232,ROLL0232,student232@college.edu,CE,6.6,64.84,84.01,32,51,87,2,5,1,1
Student_233,ROLL0233,student233@college.edu,ME,7.29,63.1,40.0,80,74,70,1,5,0,1
Student_234,ROLL0234,student234@college.edu,ME,7.04,49.16,80.13,76,98,54,1,2,1,1
Student_235,ROLL0235,student235@college.edu,CSE,8.37,67.33,64.15,97,77,77,1,1,3,1
Student_236,ROLL0236,student236@college.edu,IT,7.45,59.12,50.03,67,22,39,2,1,0,0
Student_237,ROLL0237,student237@college.edu,EEE,7.54,94.7,78.13,65,99,40,0,1,3,1
Student_238,ROLL0238,student238@college.edu,CE,6.79,87.12,88.48,70,88,50,1,4,4,1
Student_239,ROLL0239,student239@college.edu,ECE,6.71,66.74,70.35,98,29,74,2,0,3,0
Student_240,ROLL0240,student240@college.edu,IT,6.77,99.0,83.43,42,44,36,2,4,3,0
Student_241,ROLL0241,student241@college.edu,IT,7.59,86.78,91.35,87,87,93,2,3,1,1
Student_242,ROLL0242,student242@college.edu,ME,6.78,71.1,87.78,79,80,93,0,5,4,1
Student_243,ROLL0243,student243@college.edu,CSE,7.49,45.01,91.68,59,48,31,1,5,3,0
Student_244,ROLL0244,student244@college.edu,CSE,9.28,99.0,80.91,91,38,71,2,0,3,1
Student_245,ROLL0245,student245@college.edu,CE,8.07,58.33,72.91,54,62,83,0,3,4,0
Student_246,ROLL0246,student246@college.edu,ME,6.87,55.26,52.78,56,85,45,2,0,4,0
Student_247,ROLL0247,student247@college.edu,IT,8.4,87.27,69.05,80,93,47,2,5,0,1
Student_248,ROLL0248,student248@college.edu,EEE,6.79,99.0,61.88,86,80,88,2,4,1,1
Student_249,ROLL0249,student249@college.edu,ME,5.16,91.61,98.05,76,62,45,2,1,4,0
Student_250,ROLL0250,student250@college.edu,CE,6.19,81.77,69.89,68,44,35,2,5,4,1
Student_251,ROLL0251,student251@college.edu,CE,5.33,82.14,73.48,45,39,86,0,2,2,0
Student_252,ROLL0252,student252@college.edu,ME,6.85,85.24,78.62,51,67,76,1,1,4,0
Student_253,ROLL0253,student253@college.edu,CE,7.22,84.11,72.52,83,43,77,1,5,1,1
Student_254,ROLL0254,student254@college.edu,ME,8.88,78.37,92.34,50,30,71,1,4,3,1
Student_255,ROLL0255,student255@college.edu,ECE,7.53,76.25,64.53,45,74,89,1,0,3,1
Student_256,ROLL0256,student256@college.edu,ME,6.98,74.25,74.34,88,47,33,0,1,3,0
Student_257,ROLL0257,student257@college.edu,ME,8.03,65.95,63.09,60,88,31,0,4,3,1
Student_258,ROLL0258,student258@college.edu,CE,4.99,71.63,56.16,71,82,88,0,3,2,0
Student_259,ROLL0259,student259@college.edu,CE,7.44,54.68,64.66,61,78,56,2,2,4,0
Student_260,ROLL0260,student260@college.edu,CSE,7.97,73.82,71.56,88,24,56,2,1,3,1
Student_261,ROLL0261,student261@college.edu,CSE,5.72,63.14,66.85,63,70,36,2,0,0,1
Student_262,ROLL0262,student262@college.edu,ECE,8.34,61.76,63.69,38,40,92,1,3,3,0
Student_263,ROLL0263,student263@college.edu,CSE,7.54,77.16,55.12,40,31,75,2,4,4,0
Student_264,ROLL0264,student264@college.edu,ME,6.78,91.7,71.0,39,69,92,1,2,3,1
Student_265,ROLL0265,student265@college.edu,CE,7.83,86.02,53.94,46,23,41,2,0,2,0
Student_266,ROLL0266,student266@college.edu,CSE,9.47,56.15,81.12,97,61,42,1,4,1,1
Student_267,ROLL0267,student267@college.edu,CSE,7.38,63.12,72.99,77,57,72,2,4,1,1
Student_268,ROLL0268,student268@college.edu,ECE,7.45,86.29,54.51,81,44,46,2,1,4,1
Student_269,ROLL0269,student269@college.edu,IT,6.74,63.21,68.29,54,33,92,0,1,1,0
Student_270,ROLL0270,student270@college.edu,ECE,6.35,72.3,62.97,50,94,65,2,0,1,1
Student_271,ROLL0271,student271@college.edu,ME,8.03,81.6,75.83,94,51,37,2,5,0,1
Student_272,ROLL0272,student272@college.edu,CE,6.34,63.38,88.09,92,30,98,0,5,4,1
Student_273,ROLL0273,student273@college.edu,ECE,7.27,76.26,49.5,80,80,65,1,4,4,1
Student_274,ROLL0274,student274@college.edu,CSE,6.72,58.99,73.38,65,37,57,0,1,1,0
Student_275,ROLL0275,student275@college.edu,CE,7.68,67.78,70.08,95,46,76,0,2,1,1
Student_276,ROLL0276,student276@college.edu,CE,7.53,78.84,80.06,44,74,59,1,2,1,1
Student_277,ROLL0277,student277@college.edu,CSE,8.24,55.88,74.56,68,73,52,2,4,2,1
Student_278,ROLL0278,student278@college.edu,ECE,6.69,80.29,62.98,99,94,45,1,1,3,1
Student_279,ROLL0279,student279@college.edu,CSE,6.93,74.76,68.17,30,40,43,2,0,2,0
Student_280,ROLL0280,student280@college.edu,IT,6.22,81.63,62.45,52,63,81,2,0,4,1
